"id";"type";"text";"source_url";"markers";"orphan_blocks"
"34";"TYPE_1_MULTIPLE_SUBJECTS";"Белянский, в апреле 1942 года было 167 фронтовых бригад, в декабре — 412 фронтовых бригад, а в 1943 году — уже более 500 фронтовых бригад.";"data/input/razbor.txt";"тире|союз «а»";"1"
"35";"TYPE_1_MULTIPLE_SUBJECTS";"В мае, до бомбежки, саратовцы выпустили 286 самолетов, в июне, когда были бомбежки, — 173, в июле завод дал 57 боевых машин, а в августе — 115.";"data/input/razbor.txt";"тире|союз «а»";"2"
"36";"TYPE_2_SINGLE_SUBJECT";"Для выпуска бронекорпусов на одном из заводов построили две поточные линии: одну — с регламентированным ритмом, другую — со свободным ритмом, что позволяло маневрировать силами.";"data/input/razbor.txt";"тире";"1"
"37";"TYPE_2_SINGLE_SUBJECT";"В начале 1942 года новые самолёты составляли в истребительной авиации 46,4 процента, а к концу войны — 96,2 процента.";"data/input/razbor.txt";"тире";"1"
"38";"TYPE_2_SINGLE_SUBJECT";"На умытом лице он чувствовал свежесть, на сильном теле — непривычную после похода чистоту, во всех отдохнувших членах — спокойствие и силу.";"data/input/razbor.txt";"тире";"1"
"39";"TYPE_2_SINGLE_SUBJECT";"Лев Толстой написал кроткого «богом убитого» Платона Каратаева, Достоевский — различных Карамазовых и Свидригайловов, Гончаров — Обломова и т. д.";"data/input/razbor.txt";"тире";"1"
"40";"TYPE_2_SINGLE_SUBJECT";"С левой стороны висел длинный, широкий, прямой меч с крестообразной рукоятью; с правой — короткий кинжал.";"data/input/razbor.txt";"тире";"1"
"41";"TYPE_2_SINGLE_SUBJECT";"С обеих сторон дороги появились скалистые остроконечные вершины, а далее — глубокие ущелья и высокие кручи с узкими, труднопроходимыми тропинками.";"data/input/razbor.txt";"тире";"1"
"42";"TYPE_1_MULTIPLE_SUBJECTS";"Старшей из его дочерей не минуло еще двадцати лет, младшей — едва тридцать.";"data/input/razbor.txt";"тире";"1"
"43";"TYPE_1_MULTIPLE_SUBJECTS";"Латиняне уважали отшельника за его аскетическую жизнь и преданность вере, а турки и арабы — за случавшиеся с ним припадки сумасшествия, которые они принимали за религиозный экстаз.";"data/input/razbor.txt";"тире|союз «а»";"1"
"44";"TYPE_1_MULTIPLE_SUBJECTS";"Гроссмейстер ответил приветствием с холодным презрением, маркиз — с обычной вежливостью, с какой он неизменно обращался к людям различных званий и народностей.";"data/input/razbor.txt";"тире";"1"
"45";"TYPE_1_MULTIPLE_SUBJECTS";"У львов есть зубы, а у орлов — когти, сказал эрцгерцог.";"data/input/razbor.txt";"тире|союз «а»";"1"
"46";"TYPE_1_MULTIPLE_SUBJECTS";"Одни говорили, что сарацины ворвались в лагерь, другие — что было покушение на жизнь короля, третьи — что он умер ночью от лихорадки или убит австрийским эрцгерцогом.";"data/input/razbor.txt";"тире";"1"
"47";"TYPE_1_MULTIPLE_SUBJECTS";"И что тебе до того, если в стане, где принцы днём превращаются в трусов, а ночью — в воров, где смелые рыцари обращаются в жалких отступников и предателей…";"data/input/razbor.txt";"тире|союз «а»";"1"
"48";"TYPE_2_SINGLE_SUBJECT";"Я вознаградила его служение почестями, а его страдания — слезами.";"data/input/razbor.txt";"тире";"1"
"49";"TYPE_1_MULTIPLE_SUBJECTS";"Да, у тебя я отнял брата, ты — сына у сестры моей.";"data/input/razbor.txt";"тире";"1"
"50";"TYPE_2_SINGLE_SUBJECT";"…из-за него наши победы превращаются в поражения, наша радость — в печаль.";"data/input/razbor.txt";"тире";"1"
"51";"TYPE_1_MULTIPLE_SUBJECTS";"…никто не обращал на неё больше внимания, чем на прочих девушек и женщин, которые в страхе или жадном любопытстве высыпали на улицу: одни — чтоб узнать причину переполоха, другие — чтоб увериться, не грозит ли опасность их близким.";"data/input/razbor.txt";"тире";"1"
"52";"TYPE_2_SINGLE_SUBJECT";"Два красивых пажа держали один — длинный обнажённый меч своего господина, другой — его копьё.";"data/input/razbor.txt";"тире";"1"
"53";"TYPE_1_MULTIPLE_SUBJECTS";"За его спиною стояли два оруженосца, один — с его рыцарским знаменем в руке, другой — со щитом, на коем красовался его геральдический знак.";"data/input/razbor.txt";"тире";"1"
"54";"TYPE_1_MULTIPLE_SUBJECTS";"Множество челнов отчаливало в разных местах от ближнего и дальнего берега, иные — под чёрными знаменами, другие — с волынщиками на носу, которые время от времени издавали пронзительные, жалобные, протяжные звуки.";"data/input/razbor.txt";"тире";"2"
"55";"TYPE_1_MULTIPLE_SUBJECTS";"Тут был роялист, который, борясь за дело короля, растерял свои земли, там — красавица леди, которая снова собрала их в одно своим браком с богатым пуританином; тут — галантный кавалер, попавший в опасное положение из-за своей переписки с изгнанником, находившимся в Сен-Жермене, там — другой, вставший на защиту Вильгельма во время революции, а там — ещё и третий, симпатии которого поочерёдно переходили то к вигам, то к тори.";"data/input/razbor.txt";"тире|союз «а»";"1"
"56";"TYPE_1_MULTIPLE_SUBJECTS";"И когда в конце романа Дуглас выражает удивление, что мужик отклоняет рыцарское звание, а горожанин — награду из рук графа, становится ясно, что в этом обществе складывается новая сила.";"data/input/razbor.txt";"тире|союз «а»";"1"
"57";"TYPE_3_OTHER";"Бог смерти Анубис изображался в облике шакала, бог неба и охоты Хорус — в облике сокола, а богиня плодородия Таурт — в виде стоящей на задних ногах самки бегемота.";"data/input/razbor.txt";"тире";"1"
"58";"TYPE_1_MULTIPLE_SUBJECTS";"Встречи первого круга в этом случае сводятся лишь к одной встрече двух реальных участников первого и второго, во втором круге происходят две встречи, и в третьем — одна.";"data/input/razbor.txt";"тире";"1"
